date,population
03-01-2012,2321.959961
04-01-2012,2329.709961
05-01-2012,2348.97998
06-01-2012,2356.169922
09-01-2012,2350.649902
10-01-2012,2367.379883
11-01-2012,2372.25
12-01-2012,2381.98999
13-01-2012,2371.97998
17-01-2012,2393.23999
18-01-2012,2425.959961
19-01-2012,2441.699951
20-01-2012,2437.02002
23-01-2012,2437.219971
24-01-2012,2433.959961
25-01-2012,2465.659912
26-01-2012,2454.629883
27-01-2012,2461.77002
30-01-2012,2465.320068
31-01-2012,2467.949951
01-02-2012,2488.179932
02-02-2012,2495.830078
03-02-2012,2529.169922
06-02-2012,2528.300049
07-02-2012,2532.060059
08-02-2012,2545.719971
09-02-2012,2563.929932
10-02-2012,2547.320068
13-02-2012,2569.48999
14-02-2012,2575.23999
15-02-2012,2556.01001
16-02-2012,2592.290039
17-02-2012,2584.23999
21-02-2012,2590.23999
22-02-2012,2579.780029
23-02-2012,2594.929932
24-02-2012,2604.209961
27-02-2012,2606.76001
28-02-2012,2633.459961
29-02-2012,2623.100098
01-03-2012,2643.540039
02-03-2012,2641.580078
05-03-2012,2614.919922
06-03-2012,2588.949951
07-03-2012,2607.850098
08-03-2012,2637.179932
09-03-2012,2646.850098
12-03-2012,2646.850098
13-03-2012,2697.429932
14-03-2012,2708.409912
15-03-2012,2714.790039
16-03-2012,2712.780029
19-03-2012,2733.26001
20-03-2012,2737.629883
21-03-2012,2736.879883
22-03-2012,2731.5
23-03-2012,2728.550049
26-03-2012,2778.02002
27-03-2012,2782.120117
28-03-2012,2770.969971
29-03-2012,2762.050049
30-03-2012,2755.27002
02-04-2012,2784.419922
03-04-2012,2782.780029
04-04-2012,2745
05-04-2012,2762.5
09-04-2012,2739.97998
10-04-2012,2695.120117
11-04-2012,2708.129883
12-04-2012,2740.26001
13-04-2012,2698.98999
16-04-2012,2670.100098
17-04-2012,2723.580078
18-04-2012,2716.139893
19-04-2012,2686.820068
20-04-2012,2676.040039
23-04-2012,2653.5
24-04-2012,2638.72998
25-04-2012,2709.620117
26-04-2012,2725.22998
27-04-2012,2741.340088
30-04-2012,2723.679932
01-05-2012,2726.919922
02-05-2012,2734.77002
03-05-2012,2704.590088
04-05-2012,2637.919922
07-05-2012,2639.280029
08-05-2012,2629.870117
09-05-2012,2621.350098
10-05-2012,2616.23999
11-05-2012,2615.97998
14-05-2012,2590.280029
15-05-2012,2580.75
16-05-2012,2561.560059
17-05-2012,2509.050049
18-05-2012,2478.530029
21-05-2012,2545.429932
22-05-2012,2539.199951
23-05-2012,2547.080078
24-05-2012,2531.350098
25-05-2012,2527.050049
29-05-2012,2558.969971
30-05-2012,2537.399902
31-05-2012,2524.870117
01-06-2012,2458.830078
04-06-2012,2478.129883
05-06-2012,2487.5
06-06-2012,2546.320068
07-06-2012,2535.409912
08-06-2012,2559.209961
11-06-2012,2517.179932
12-06-2012,2546.199951
13-06-2012,2527.439941
14-06-2012,2539.969971
15-06-2012,2571.22998
18-06-2012,2592.52002
19-06-2012,2620.830078
20-06-2012,2623.330078
21-06-2012,2556.959961
22-06-2012,2585.530029
25-06-2012,2533.540039
26-06-2012,2549.840088
27-06-2012,2565.530029
28-06-2012,2536.649902
29-06-2012,2615.719971
02-07-2012,2625.030029
03-07-2012,2645.840088
05-07-2012,2647.469971
06-07-2012,2612.290039
09-07-2012,2610.310059
10-07-2012,2585.52002
11-07-2012,2570.98999
12-07-2012,2545.300049
13-07-2012,2584.969971
16-07-2012,2577.050049
17-07-2012,2591.649902
18-07-2012,2625.870117
19-07-2012,2655.810059
20-07-2012,2618.040039
23-07-2012,2589.929932
24-07-2012,2567.459961
25-07-2012,2549.199951
26-07-2012,2584.850098
27-07-2012,2647.030029
30-07-2012,2642.120117
31-07-2012,2642.530029
01-08-2012,2635.129883
02-08-2012,2625.52002
03-08-2012,2676
06-08-2012,2694.090088
07-08-2012,2717.159912
08-08-2012,2714.02002
09-08-2012,2719.610107
10-08-2012,2722.959961
13-08-2012,2728.679932
14-08-2012,2727.790039
15-08-2012,2735.469971
16-08-2012,2768.090088
17-08-2012,2780.300049
20-08-2012,2784.330078
21-08-2012,2772.199951
22-08-2012,2783.419922
23-08-2012,2762.02002
24-08-2012,2778.050049
27-08-2012,2782.550049
28-08-2012,2782.689941
29-08-2012,2784
30-08-2012,2753.73999
31-08-2012,2772.23999
04-09-2012,2772.030029
05-09-2012,2766.949951
06-09-2012,2829.709961
07-09-2012,2825.110107
10-09-2012,2788.350098
11-09-2012,2784.889893
12-09-2012,2791.679932
13-09-2012,2831.350098
